file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,92,css,5f48cd04,Karthik Sankaran,2026-04-09,19:27:30,-07:00,2026-04-09T19:27:30-07:00,0,0
style.css,93,css,5f48cd04,Karthik Sankaran,2026-04-09,19:27:30,-07:00,2026-04-09T19:27:30-07:00,0,17
style.css,94,css,5f48cd04,Karthik Sankaran,2026-04-09,19:27:30,-07:00,2026-04-09T19:27:30-07:00,1,12
style.css,95,css,5f48cd04,Karthik Sankaran,2026-04-09,19:27:30,-07:00,2026-04-09T19:27:30-07:00,1,26
style.css,96,css,5f48cd04,Karthik Sankaran,2026-04-09,19:27:30,-07:00,2026-04-09T19:27:30-07:00,1,15
style.css,97,css,5f48cd04,Karthik Sankaran,2026-04-09,19:27:30,-07:00,2026-04-09T19:27:30-07:00,1,7
style.css,98,css,5f48cd04,Karthik Sankaran,2026-04-09,19:27:30,-07:00,2026-04-09T19:27:30-07:00,0,0
style.css,99,css,5f48cd04,Karthik Sankaran,2026-04-09,19:27:30,-07:00,2026-04-09T19:27:30-07:00,0,0
style.css,100,css,7e7c5187,Karthik Sankaran,2026-04-30,21:07:04,-07:00,2026-04-30T21:07:04-07:00,0,23
style.css,101,css,7e7c5187,Karthik Sankaran,2026-04-30,21:07:04,-07:00,2026-04-30T21:07:04-07:00,1,104
style.css,102,css,7e7c5187,Karthik Sankaran,2026-04-30,21:07:04,-07:00,2026-04-30T21:07:04-07:00,1,34
style.css,103,css,7e7c5187,Karthik Sankaran,2026-04-30,21:07:04,-07:00,2026-04-30T21:07:04-07:00,1,13
style.css,104,css,7e7c5187,Karthik Sankaran,2026-04-30,21:07:04,-07:00,2026-04-30T21:07:04-07:00,1,8
style.css,105,css,7e7c5187,Karthik Sankaran,2026-04-30,21:07:04,-07:00,2026-04-30T21:07:04-07:00,0,0
style.css,106,css,7e7c5187,Karthik Sankaran,2026-04-30,21:07:04,-07:00,2026-04-30T21:07:04-07:00,0,0
style.css,107,css,5f48cd04,Karthik Sankaran,2026-04-09,19:27:30,-07:00,2026-04-09T19:27:30-07:00,0,12
style.css,108,css,5f48cd04,Karthik Sankaran,2026-04-09,19:27:30,-07:00,2026-04-09T19:27:30-07:00,1,8
style.css,109,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,0,0
style.css,110,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,0,0
style.css,111,css,f27484e4,Karthik Sankaran,2026-04-09,19:42:21,-07:00,2026-04-09T19:42:21-07:00,0,18
style.css,112,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,0,7
style.css,113,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,1,19
style.css,114,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,0,0
style.css,115,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,0,0
style.css,116,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,0,10
style.css,117,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,1,43
style.css,118,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,1,20
style.css,119,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,1,17
style.css,120,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,1,25
style.css,121,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,0,0
style.css,122,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,0,0
style.css,123,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,0,15
style.css,124,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,1,19
style.css,125,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,0,0
style.css,126,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,0,0
style.css,127,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,0,22
style.css,128,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,1,12
style.css,129,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,1,29
style.css,130,css,542a44e6,Karthik Sankaran,2026-04-09,19:37:18,-07:00,2026-04-09T19:37:18-07:00,1,20
